Age.Pension,Disability.Support.Pension,Wife.Pension_Age.Pension,Wife.Pension_Disability.Support.Pension,Increase
31630.109516781442,5984.7132925000005,31.556571428571427,21.646419753086416,0
66846.99590083363,20061.8418125,171.80800000000002,117.50913580246913,0
17864.641539688295,7256.639434722222,45.58171428571429,58.754567901234566,0
7083.5380988764055,3737.3573047222217,24.543999999999997,30.923456790123453,0
3148.2391550561797,1306.3025244444445,17.53142857142857,15.461728395061726,0
787.0597887640449,326.57563111111114,3.5062857142857142,6.184691358024692,0
22719.48482322581,4316.384492777777,21.037714285714287,15.461728395061726,5e3
47383.61512258065,12733.2268275,122.72000000000001,74.21629629629629,5e3
35026.44304774194,11573.0239275,77.13828571428571,71.12395061728394,5e3
16004.523566451615,6966.588709722221,45.58171428571429,55.66222222222222,5e3
3891.5734,2104.4791491666665,17.53142857142857,21.646419753086416,5e3
2334.94404,979.7268933333334,10.518857142857144,12.369382716049383,5e3
16105.662193442624,3228.1571430555555,14.025142857142857,6.2620000000000005,1e4
40906.178099672135,9867.09595972222,98.17599999999999,62.62,1e4
32127.80924983607,11864.148914444444,98.17599999999999,75.14399999999999,1e4
22493.410245245905,6710.914366944445,28.050285714285714,37.571999999999996,1e4
11835.95081180328,5370.235460277778,38.56914285714286,50.096000000000004,1e4
3891.5734,1632.8781555555554,17.53142857142857,18.785999999999998,1e4
9756.310050163103,2307.125089148352,7.0125714285714285,3.1310000000000002,15e3
31318.51693178688,6875.1583936813195,63.113142857142854,40.703,15e3
33542.36475135919,10718.064885714286,101.68228571428573,72.01299999999999,15e3
26458.826652482785,7956.2082570054945,49.087999999999994,43.833999999999996,15e3
20775.147092859734,8087.952908653847,45.58171428571429,62.62,15e3
5509.418521348314,2728.9204657967034,28.050285714285714,28.179000000000002,15e3
4541.5210190439175,929.6134806003752,3.6361481481481475,0,2e4
27288.725207617565,6014.770456435272,50.90607407407407,33.84864864864865,2e4
29137.50787858531,8019.693941913695,83.63140740740741,54.15783783783784,2e4
27730.502592848814,10747.295406378988,79.99525925925926,67.6972972972973,2e4
29137.50787858531,9164.949887729832,43.63377777777777,57.54270270270271,2e4
9524.819423319084,3797.1068269418383,32.72533333333333,37.233513513513515,2e4
